arm,10000,20000,30000,50000,70000,100000,200000,500000,1000000,2000000,3000000,5000000,7000000,10000000,100000000
chr10p,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr10q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr11p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
chr11q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr12p,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2
chr13p,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4
chr13q,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2
chr14p,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
chr14q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr15p,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
chr15q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr16p,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3
chr16q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr17p,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4
chr18p,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
chr18q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr1p,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr1q,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
chr20p,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2
chr21q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr22p,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5
chr23p,0,0,0,0,0,0,0,0,1,2,2,2,2,2,4
chr23q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr2q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr3p,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2
chr4p,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr4q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr5p,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr5q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr6q,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr7p,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr7q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr8p,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr8q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chr9p,0,1,1,1,2,2,2,2,2,2,2,2,2,2,4
chr9q,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chrXq,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2
chrYq,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4
